"","prod_id","category_desc_eng","sub_category_desc","V1"
"1",145519008,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.68952455993085
"2",145519011,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.378702942503396
"3",152576008,"YOGURT HEALTH","IOGURTE BIFIDUS MAGR",-0.335028751732884
"4",152576009,"YOGURT HEALTH","IOGURTE BIFIDUS MAGR",-0.373989185660097
"5",153701006,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.312424536840371
"6",153701007,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.484347939125713
"7",153701009,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.329441717015013
"8",158284012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.305146518989674
"9",162500009,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.483431007475662
"10",162500010,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.424723954242999
"11",162500011,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.308189262565045
"12",177402008,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.922442376216132
"13",178708012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.304875079466422
"14",178718007,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.642286014677237
"15",178718010,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.589549085581295
"16",178738006,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.6257327496324
"17",178738009,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.494653398148221
"18",178738010,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.804354964578297
"19",178738012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.403608354972089
"20",180440006,"YOGURT HEALTH","IOGURTE BIFIDUS PED",-0.658101666672487
"21",180440010,"YOGURT HEALTH","IOGURTE BIFIDUS PED",-0.700547920791197
"22",197953011,"YOGURT HEALTH","IOG S/LACTOSE LIQUID",-0.316729952685211
"23",197953012,"YOGURT HEALTH","IOG S/LACTOSE LIQUID",-0.30606085076227
"24",233551009,"YOGURT HEALTH","IOGURTE BIFIDUS PED",-0.772434210092626
"25",234415008,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.398843187246573
"26",234415009,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.58844405845323
"27",234415012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.437208291131188
"28",234423008,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.451310640227087
"29",234423012,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.84602787157522
"30",248622012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-0.571949775571492
"31",266012007,"YOGURT HEALTH","IOGURTE BIFIDUS LIQ",-0.309612987604471
"32",296592012,"YOGURT HEALTH","IOGURTE BIFIDUS MAGR",-0.363634149222809
"33",299893011,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-1.68717367706449
"34",299893012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-1.71572291823398
"35",299894009,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-2.10895728925207
"36",299894010,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-1.43515352535964
"37",299894011,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-2.0464447355011
"38",299894012,"YOGURT HEALTH","IOGURTE MAGRO LIQUID",-1.47153711926855
"39",486635012,"YOGURT HEALTH","IOG ANTI COLESTROL",-0.348849515262939
"40",568040008,"YOGURT HEALTH","IOGURTE MAGRO PEDACO",-0.432036689442482
"41",568040009,"YOGURT HEALTH","IOGURTE MAGRO PEDACO",-0.39491042750587
"42",568040010,"YOGURT HEALTH","IOGURTE MAGRO PEDACO",-2.47983991007719
"43",568040012,"YOGURT HEALTH","IOGURTE MAGRO PEDACO",-0.892933424825301
"44",568041012,"YOGURT HEALTH","IOGURTE MAGRO AROMA",-1.14560599426642
"45",999146840,"FINE WINES","VINHO REGIAO ALENTEJ",-1.63350582147478
"46",999156842,"FINE WINES","VINHO REGIAO VERDE",-0.545948033246817
"47",999174047,"FINE WINES","VINHO REGIAO DOURO",-0.310959314749884
"48",999174145,"FINE WINES","VINHO REGIAO ALENTEJ",-0.523255464201093
"49",999179095,"FINE WINES","VINHO REGIAO DOURO",-1.30510285232407
"50",999183077,"FINE WINES","VINHO REGIAO ALENTEJ",-0.324473600302077
"51",999184216,"FINE WINES","VINHO REGIÃO TEJO",-0.40849485615767
"52",999185673,"FINE WINES","VINHO REGIAO ALENTEJ",-0.419140080799138
"53",999235115,"FINE WINES","VINHO REGIAO ALENTEJ",-0.484591568189152
"54",999246551,"FINE WINES","VINHO REGIAO VERDE",-0.366587269623401
"55",999271525,"FINE WINES","VINHO REGIAO ALENTEJ",-0.623919115551355
"56",999276391,"FINE WINES","VINHO REGIAO ALENTEJ",-0.515595558129022
"57",999276595,"FINE WINES","VINHO REGIAO ALENTEJ",-0.332209928445621
"58",999279415,"FINE WINES","VINHO REGIAO ALENTEJ",-0.647945038585466
"59",999289703,"FINE WINES","VINHO REGIAO ALENTEJ",-0.547414810221956
"60",999300050,"FINE WINES","VINHO REGIAO VERDE",-2.38096345852448
"61",999301585,"FINE WINES","VINHO REGIAO ALENTEJ",-1.20837487105362
"62",999301596,"FINE WINES","VINHO REGIAO ALENTEJ",-0.777437568422108
"63",999304398,"FINE WINES","VINHO REGIAO ALENTEJ",-0.602640990371389
"64",999323939,"FINE WINES","VINHO REGIAO ALENTEJ",-0.912232901815472
"65",999324731,"FINE WINES","VINHO REGIÃO TEJO",-0.394505304901591
"66",999326163,"FINE WINES","VINHO REGIAO ALENTEJ",-0.624375439340348
"67",999327358,"FINE WINES","VINHO REGIAO P SETUB",-0.416902480479164
"68",999329006,"FINE WINES","VINHO REGIAO ALENTEJ",-0.872196345020046
"69",999334732,"FINE WINES","VINHO REGIAO ALENTEJ",-1.0256414722793
"70",999357140,"FINE WINES","VINHO REGIAO ALENTEJ",-0.302816057358116
"71",999358585,"FINE WINES","VINHO REGIAO VERDE",-0.611247749443533
"72",999358593,"FINE WINES","VINHO REGIAO DOURO",-0.776823963359299
"73",999380298,"FINE WINES","VINHO REGIAO VERDE",-1.01015739134815
"74",999411220,"FINE WINES","VINHO REGIAO VERDE",-1.35281816701629
"75",999425088,"FINE WINES","VINHO REGIAO VERDE",-0.315840621963071
"76",999425476,"FINE WINES","VINHO REGIAO ALENTEJ",-0.361459717527994
"77",999425477,"FINE WINES","VINHO REGIAO ALENTEJ",-0.634544661652108
"78",999436980,"FINE WINES","VINHO REGIAO ALENTEJ",-0.539964637331748
"79",999450897,"FINE WINES","VINHOS FINOS ROSE",-0.324182570544453
"80",999476545,"FINE WINES","VINHO REGIAO ALENTEJ",-0.332594502758808
"81",999498439,"FINE WINES","VINHOS FINOS ROSE",-0.477453208091997
"82",999510918,"FINE WINES","VINHO REGIAO DOURO",-3.65740343347636
"83",999576935,"FINE WINES","VINHO REGIÃO TEJO",-2.24771769662921
"84",999578813,"FINE WINES","VINHO REGIAO ALENTEJ",-1.02470829687329
"85",999616784,"FINE WINES","VINHO REGIAO ALENTEJ",-0.865075286713301
"86",999616785,"FINE WINES","VINHO REGIAO ALENTEJ",-0.659864745663039
"87",999616794,"FINE WINES","VINHO REGIAO DAO",-0.580381602731467
"88",999633868,"FINE WINES","VINHO REGIÃO TEJO",-1.4293607925154
"89",999653192,"FINE WINES","VINHO REGIAO P SETUB",-0.884825826533093
"90",999693305,"FINE WINES","VINHO REGIAO ALENTEJ",-0.341785068571966
"91",999694953,"FINE WINES","VINHO REGIAO P SETUB",-3.46369798426713
"92",999725419,"FINE WINES","VINHO REGIAO P SETUB",-1.88961324782929
"93",999892152,"FINE WINES","VINHO REGIAO VERDE",-1.23246915337977
"94",999892163,"FINE WINES","VINHO REGIÃO LISBOA",-1.50374037892108
"95",999899925,"FINE WINES","VINHO REGIAO VERDE",-3.10972399129386
"96",999937209,"FINE WINES","VINHO REGIAO DOURO",-2.86223763397551
"97",999937274,"FINE WINES","VINHO REGIAO P SETUB",-0.984864032837354
"98",999937545,"FINE WINES","VINHO REGIAO DOURO",-1.00400962620343
"99",999937609,"FINE WINES","VINHO REGIAO DAO",-1.102230799271
"100",999946225,"FINE WINES","VINHO REGIAO ALENTEJ",-1.72981046501179
"101",999946229,"FINE WINES","VINHO REGIAO ALENTEJ",-0.352000241359847
"102",999958016,"FINE WINES","VINHO REGIAO ALENTEJ",-4.42406720619683
"103",999960817,"FINE WINES","VINHO REGIAO VERDE",-0.864542032622335
"104",999972283,"FINE WINES","VINHO REGIAO ALENTEJ",-3.30342606149342
"105",999985248,"FINE WINES","VINHO REGIAO ALENTEJ",-1.09801738196885
"106",999985253,"FINE WINES","VINHO REGIAO ALENTEJ",-3.43035795887282
"107",999995280,"FINE WINES","VINHO REGIAO DAO",-0.73429267057406
"108",999995515,"FINE WINES","VINHO REGIAO VERDE",-2.35236547841276
